Country,travel_popdenisty_/sqmile,travel_coastline_%ratio,travel_incountry_%growth,travel_no_of_arrivals,soc_gdp_percapita,soc_literacy_%pop,soc_suicide_per_100k,soc_birthrate_cbr,eco_%agriculture,eco_%industry,eco_%service,eco_%self_employed,pop_%female,pop_avghousehold_size,pop_%householdtype_nuclear,pop_%householdtype_nochildren,travel_rank,society_rank,economy_rank,pop_rank,overall_rank
Cote d'Ivoire,54.8,0.16,6.90461,1965000,1400,50.9,18.64728348,35.11,0.279,0.171,0.55,75.2,49.34258834,5.745,30.1225,4.33,97,156,69,80,87
Malawi,109.8,0,3.81246,871000,600,62.7,10.43462987,43.13,0.342,0.158,0.499,60.9,50.46127702,4.405555556,56.47222222,6.907777778,124,152,78,52,88
Ethiopia,66.3,0,5.98104,849000,700,42.7,8.516032887,37.98,0.475,0.099,0.426,88.6,50.06925951,4.717142857,63.08,4.785,129,154,93,11,89
Ukraine,77.4,0.46,4.95092,14104000,5400,99.7,21.59801565,8.82,0.187,0.452,0.361,17.4,53.76707292,2.565,53.27,19.65,34,92,143,118,90
Burkina Faso,50.7,0,4.42727,144000,1100,26.6,8.228692817,45.62,0.322,0.196,0.482,87.8,50.12898457,6.235555556,43.25875,5.87125,134,148,92,46,91
Niger,9.9,0,4.31315,157000,800,17.6,9.251179385,50.73,0.39,0.17,0.44,89.3,49.85517298,6.055,49.6975,5.1025,131,155,96,35,92
Zambia,15.3,0,6.40143,1072000,800,80.6,10.03935319,41,0.22,0.29,0.489,77.8,50.37930569,5.3175,48.6675,5.285,119,139,114,41,93
Togo,97.7,0.1,5.36599,573000,1500,60.9,6.441331219,37.01,0.395,0.204,0.401,81.2,50.15121133,5.358,30.676,3.734,126,123,117,70.5,94
Tanzania,39.6,0.15,18.7417,1378000,600,78.2,9.4712883,37.71,0.432,0.172,0.396,86.2,50.5462204,4.954166667,46.68333333,5.6175,107,147,112,59,95
Mali,9.5,0,5.79367,14000,900,46.4,8.261613482,49.82,0.45,0.17,0.38,88.7,49.95645826,5.74625,53.2425,6.38875,135,146,118,32,96
Nepal,192.2,0,4.80351,1173000,1400,45.2,11.91137636,30.98,0.38,0.21,0.41,80,51.45671778,4.937142857,51.83,5.65,125,151,115,37,97
Lesotho,66.6,0,3.06473,1173000,3000,84.8,8.197178475,24.75,0.163,0.443,0.394,59.6,51.44848529,4.078333333,32.768,4.132,110,102,146,106,98
Papua New Guinea,12.3,1.11,6.57679,140000,2200,64.6,12.1201671,29.36,0.353,0.381,0.266,76.3,49.12863841,5.126666667,59.19333333,6.386666667,117,128,158,22,99
Mozambique,24.6,0.31,6.72847,2743000,1200,47.8,9.081569987,35.18,0.262,0.348,0.39,88.6,51.15974545,4.445,54.555,7.785,77,144,148,44,100
Angola,9.7,0.13,4.63182,218000,1900,42,13.68360467,45.11,0.096,0.658,0.246,71.5,50.96303626,5.163333333,53.28333333,5.006666667,122,140,160,20.5,101
Sierra Leone,83.7,0.56,3.87914,57000,500,31.4,12.53389157,45.76,0.49,0.31,0.21,89.9,50.47717308,5.923333333,33.66666667,3.106666667,127,160,157,42,102
Burundi,290.7,0,1.31559,,600,51.6,13.40180391,42.22,0.463,0.203,0.334,93.3,50.78774939,4.65,67.05333333,3.89,,159,135,1,
Iraq,61.3,0.01,1.51649,,1500,40.4,14.14675212,31.98,0.073,0.666,0.261,39.4,49.37694479,7.7,58.57,2.66,,153,156,6,
Rwanda,328.4,0,6.49601,,1300,70.4,12.34249902,40.37,0.401,0.229,0.37,80.4,50.96393002,4.484166667,61.881,4.048,,143,131,7,
Bangladesh,1023.4,0.4,6.5917,,1900,43.1,14.60783785,29.8,0.199,0.198,0.603,60.1,49.5743623,4.941,59.104,5.102,,145,48,20.5,
Afghanistan,48,0,,,700,36,6.745274867,46.6,0.38,0.24,0.38,67.3,48.46650935,8.04,52.77,1.97,,150,122,23,
Chad,7.7,0,3.56214,,1200,47.5,7.952727376,45.73,0.335,0.259,0.406,91.8,49.94374497,5.49,54.16,4.983333333,,136,126,25,
Honduras,65.4,0.73,4.96693,,2600,76.2,7.752264653,28.24,0.139,0.312,0.549,48.1,50.13976687,5.092,54.396,4.464,,104,98,29,
Pakistan,206.2,0.13,5.71467,,2100,45.7,13.23572991,29.74,0.216,0.251,0.533,61,48.63393041,6.462,51.838,4.376,,138,89,30,
Montenegro,,0,3.24757,2077000,,,,,,,,21.2,50.66307979,3.21,71.01,13.42,,,,31,
Senegal,61.1,0.27,5.25345,,1600,40.2,6.677666373,32.78,0.172,0.209,0.619,46.6,50.87041056,8.867142857,21.89285714,1.435,,131,43,33,
Puerto Rico,284.8,3.63,2.63395,3068000,16800,94.1,,12.77,0.01,0.45,0.54,,51.93109181,3.208571429,64.60166667,14.745,57,,,34,
Guinea,39.4,0.13,6.06269,,2100,35.9,7.482283133,41.76,0.237,0.362,0.401,91.5,49.86046831,6.394,35.094,3.952,,122,150,51,
Myanmar,,0,4.95901,3551000,,,10.56675794,,,,,61.4,51.15752759,4.22,56.4,7.31,,,,55,
Uganda,119.5,0,7.69541,,1400,69.9,9.319755753,47.35,0.311,0.222,0.469,77.7,50.25811683,4.814444444,49.31666667,4.671111111,,126.5,103,64,
Nigeria,142.7,0.09,3.56261,,900,68,7.514535755,40.43,0.269,0.487,0.244,81.5,49.32625945,4.756666667,54.47333333,6.079166667,,134,161,65.5,
Namibia,2.5,0.19,-2.20997,,7200,84,8.526318863,24.32,0.097,0.315,0.588,29.7,51.35080095,4.95,27.2625,5.2825,,74,76,77,
Liberia,27.3,0.52,,,1000,57.5,8.135991733,44.77,0.769,0.054,0.177,80.2,49.54762434,5.036,39.254,3.818,,142,121,82,
Swaziland,65.5,0,2.40101,,4900,81.6,10.70164763,27.41,0.119,0.515,0.366,20.7,51.57183669,4.69,26.84,4.25,,99,144,85,
Cameroon,36.5,0.08,5.03408,,1800,79,7.036993349,33.89,0.448,0.17,0.382,75.4,49.95267263,5.174285714,35.63571429,5.944285714,,111,111,86.5,
Kenya,59.6,0.09,5.36749,,1000,85.1,10.37422493,39.72,0.163,0.188,0.651,61.7,50.30022221,4.418,47.882,4.665,,133,40,88,
Central African Republic,6.9,0,5.19938,,1100,51,13.39950997,33.91,0.55,0.2,0.25,69.1,50.67654901,4.91,37.58,8.25,,157,130,89,
Serbia,106.3,0,5.04627,1711000,2200,93,14.47202875,,0.166,0.255,0.579,31.6,51.13593872,2.925,58.31,16.85,116,,62,90,
Botswana,2.7,0,5.46524,,9000,79.8,9.960464787,23.08,0.024,0.469,0.507,17.6,50.57017496,4.424,22.3825,4.285,,76,109,105,
Ghana,93.6,0.23,4.75352,,2200,74.8,6.020095112,30.52,0.366,0.246,0.387,72.9,50.17032025,4.172222222,41.73777778,3.856666667,,103,124,107,
Gabon,5.3,0.33,2.66072,,5500,63.2,7.211264157,36.16,0.061,0.592,0.348,34.6,48.63423515,4.535,31.12,7.415,,87,152,119,
Russian Federation,8.4,0.22,3.67607,24551000,8900,99.6,,9.95,0.054,0.371,0.575,,53.52634937,2.645,50.96,18.575,16,,,123,
Aruba,372.5,35.49,3.00784,1082000,28000,97,,11.03,0.004,0.333,0.663,,52.5176712,2.89,45.12,11.48,81,,,124,
Iceland,2.9,4.83,7.65934,2343800,30900,99.9,11.45728723,13.64,0.086,0.15,0.765,11.7,49.82538564,,,,63,3,3,,
Barbados,649.5,22.51,1.63693,680000,15700,97.4,3.404418683,12.71,0.06,0.16,0.78,16.8,52.12288997,,,,88,15,5,,
Denmark,126.5,16.97,2.14391,12749000,31100,100,19.01175329,11.13,0.018,0.246,0.735,9.01,50.26241155,,,,13,14,13,,
Netherlands,397.1,1.09,2.57434,18780000,28600,99,8.002346768,10.9,0.021,0.244,0.736,16.7,50.24478244,2.27,,,21,6,15,,
Sweden,20,0.72,2.51755,7440000,26800,99,15.42142491,10.27,0.011,0.282,0.707,9.91,49.95590118,,,,26,32,18,,
Suriname,2.7,0.24,10.1975,,4000,93,19.8852472,18.02,0.13,0.22,0.65,15.2,49.81602671,3.94,,,,107,27,,
Lebanon,372.5,2.16,6.14979,1964000,4800,87.4,5.97873434,18.52,0.12,0.21,0.67,36.4,49.83833567,,,,92,82,29,,
Belize,12.5,1.68,3.79665,489000,4900,94.1,7.308054569,28.84,0.142,0.152,0.612,31.6,50.21191077,,,,89,67,35,,
Slovak Republic,111.4,0,3.43587,2256000,13300,,,10.65,0.035,0.294,0.672,15.4,51.38577721,,,,102,,36,,
Cape Verde,104.4,23.93,,,1400,76.6,5.065421789,24.87,0.121,0.219,0.66,39.8,50.1698433,,,,,119,38,,
Vanuatu,17.1,20.72,2.80463,116000,2900,53,5.025895869,22.72,0.26,0.12,0.62,74.7,49.40017231,,,,94,105,41,,
Mauritius,608.3,8.68,3.80075,1399000,11400,85.6,8.074160178,15.43,0.059,0.298,0.643,20.4,50.53673605,3.48,,,87,60,46,,
Djibouti,21.2,1.37,,,1300,67.9,5.160983276,39.53,0.179,0.225,0.596,41.3,49.81640428,,,,,120,54,,
Bahrain,1050.5,24.21,2.98562,12045000,16900,89.1,3.212076983,17.8,0.005,0.387,0.608,3.12,37.27092502,,,,20,20,59,,
Moldova,132,0,2.00675,160000,1800,99.1,17.02489913,15.7,0.213,0.233,0.555,29.6,52.01896122,,,,133,112,63,,
Oman,14.6,0.98,4.61736,2301000,13100,75.8,3.749441944,36.24,0.027,0.39,0.583,11.1,34.15597234,8.02,,,70,30,74,,
Solomon Islands,19.4,18.67,1.20322,27900,1700,,4.55074777,30.01,0.42,0.11,0.47,63.8,49.16201026,,,,93,,80,,
Bosnia and Herzegovina,88,0.04,5.177,1053000,6100,,11.05099484,8.77,0.142,0.308,0.55,25.4,50.90671126,,,,121,,82,,
Sri Lanka,308.2,2.04,4.40229,2334000,3700,92.3,20.23903786,15.51,0.178,0.276,0.545,42.7,51.9384991,,,,79,117,86,,
Tunisia,62.2,0.7,3.69376,8299000,6900,74.2,3.600386739,15.52,0.132,0.318,0.55,27.3,50.59784293,,,,39,72,87,,
Kuwait,135.7,2.8,6.50893,8508000,19000,83.5,0.994203969,21.94,0.004,0.479,0.516,2.53,42.57858952,,,,48,17,97,,
Tonga,153.3,56.02,11.2626,54000,2200,98.5,4.546554721,25.37,0.23,0.27,0.5,56.4,49.83428688,,,,123,73,99,,
Mauritania,3.1,0.07,,,1800,41.7,7.180394809,40.99,0.25,0.29,0.46,47.7,49.60019764,,,,,125,107,,
"Congo, Dem. Rep.",26.7,0,3.63426,,700,65.5,,43.69,0.55,0.11,0.34,57.2,,4.886,48.126,5.054,,,108,,
Guinea-Bissau,39.9,0.97,,,800,42.4,7.429408395,37.22,0.62,0.12,0.26,66.6,50.79735622,,,,,149,119,,
Somalia,13.9,0.47,,,500,37.8,23.27362957,45.13,0.65,0.1,0.25,73.8,50.1870235,,,,,161,120,,
Brunei Darussalam,65.8,2.79,5.17937,278000,18600,93.9,1.396965703,18.79,0.036,0.561,0.403,7.24,48.53396034,,,,108,7,123,,
Turkmenistan,10.3,0,,,5800,98,10.02790602,27.61,0.209,0.38,0.411,25.9,50.75981175,,,,,61,128,,
United Arab Emirates,31.4,1.59,3.20622,21286000,23200,77.9,2.004039769,18.96,0.04,0.585,0.375,3.19,27.59638942,,,,9,18,137,,
Libya,3.4,0.1,21.3642,,6400,82.6,4.472429075,26.49,0.076,0.499,0.425,40.8,49.59028172,,,,,58,138,,
Saudi Arabia,13.8,0.13,3.36753,15334000,11800,78.8,6.252703597,29.34,0.033,0.613,0.354,4.89,42.92976325,,,,24,46,139,,
Qatar,77.4,4.92,6.90786,1819300,21500,82.5,2.762525563,15.56,0.002,0.801,0.197,0.403,24.92671111,,,,82,22,145,,
"Korea, North",191.8,2.07,4.07087,,1300,99,11.55611508,15.54,0.3,0.34,0.36,66.9,51.08895834,,,,,118,151,,
Bhutan,48.5,0,,274000,1300,42.2,16.16087836,33.65,0.258,0.379,0.363,71.4,46.92618866,,,,,158,153,,
Algeria,13.8,0.04,2.59324,2657000,6000,70,4.48406011,17.14,0.101,0.6,0.298,30.9,49.49824227,,,,73,81,154,,
Samoa,60.1,13.69,,164000,5600,99.7,5.498493393,16.43,0.114,0.584,0.302,36.4,48.40332113,6.75,,,,39,155,,
Equatorial Guinea,19.3,1.06,,,2700,85.7,9.18236214,35.59,0.03,0.906,0.062,40.1,44.64294166,,,,,101,159,,
Antigua and Barbuda,156,34.54,6.66922,269000,11000,89,1.5999478,16.93,0.038,0.22,0.743,,51.99929419,,,,114,28,,,
Grenada,260.8,35.17,3.78667,185000,5000,98,3.614288829,22.08,0.054,0.18,0.766,,49.78203606,,,,104,42,,,
Singapore,6482.2,27.85,3.13642,14673000,23700,92.5,12.68577051,9.34,,0.339,0.661,14.1,50.59025198,3.435,,,18,52,,,
"Egypt, Arab Rep.",78.8,0.24,2.25521,11196000,4000,57.7,0.521247836,22.94,0.149,0.357,0.493,,49.43782799,,,,29,88,,,
Seychelles,179.2,107.91,2.97741,362000,7800,58,9.73080193,16.03,0.032,0.304,0.665,,50.72148625,3.78,,,91,97,,,
